"fdc_id","food_description","Food_Group_Code","Food_Group","source_fct","nutrient_data_source","ENERCkcal","PROCNTg","PROANIg","MFP_PROTg","FAT_g","FASATg","FAMSg","FAPUg","CHOCDFg","CHOLEmg","FIB_g","SUCSg","PHYTACmg","VITA_RAEmcg","A_VITAmcg","VITDmcg","VITEmcg","VITCmg","THIAmg","RIBFmg","NIAmg","VITB6_mg","FOLmcg","VITB12mg","PANTACmg","TRPmg","THRmg","ILEmg","LEUmg","LYSmg","METmg","CYSmg","PHEmg","TYRmg","VALmg","ARGmg","HISmg","CAmg","Pmg","MGmg","Kmg","NAmg","FEmg","MFP_FEmg","ZNmg","CUmg","MNmg"
"31","Wheat, flour, maida","A1","Cereal and Cereal products","TZ08","None listed","349","12.3","0","0","1.5","0.3","0.1","0.7","74.099999999999994","0","8.4","0.4","620",0,"0",0,1,0,0.3,0.1,"3.8",0.2,26,0,0.7,"127","281","357","710","228","183","219","520","312","415","417","230",26,251,92,286,4,2.8,0,"2",0.3,2.6
"534","Cake (home made)","A2","Cereal-based local dishes","TZ08","None listed","375.6","4.5999999999999996","2.1","0","21.3","12.9","5.7","1","42.4","115.2","0.7","23.3","67.7",208.3,"208.3",0.6,0.8,0,0,0.1,"0.3",0,11.2,0.2,0.3,"45","140.5","166.3","285.8","178.3","91","81","190.2","131.9","188.5","115.2","46.1",12.8,63.6,7,46.7,72.4,0.5,0,"0.3",0,0.2
"513","Chapati, dry, Indian","A2","Cereal-based local dishes","TZ08","None listed","207.9","5.2","0","0","3.5","2.7","0.2","0.3","38.200000000000003","0","1.3","0.2","141",0,"0",0,0,0,0.1,0,"0.6",0,9,0,0.2,"63.5","141","180.6","312.5","330.7","100.3","47.4","156.9","134.9","430","267.39999999999998","135.6",8,54,11,53.5,1,0.6,0,"0.4",0.1,0.3
"512","Chapati with oil","A2","Cereal-based local dishes","TZ08","None listed","372.6","5.9","0","0","19.5","16.5","1.2","0.6","43.9","0","1.6","0.2","162.19999999999999",0,"0",0,0.2,0,0.1,0,"0.6",0,10.4,0,0.2,"51.2","113.3","143.80000000000001","285.8","92","73.599999999999994","88","209.3","125.3","167.3","167.9","92.6",9.9,71.3,16.6,70.6,1.3,0.7,0,"0.4",0.9,0.4
"532","Donut-African","A2","Cereal-based local dishes","TZ08","None listed","316.60000000000002","5.2","0","0","10.5","8.6999999999999993","0.6","0.4","50.6","0","1.4","12.3","141",0,"0",0,0.2,0,0.1,0,"0.6",0,9,0,0.2,"44.5","98.5","125","248.5","80","64","76.5","182","109","145.5","0","0",7.6,54.3,11,53.8,1.1,0.6,0,"0.4",0.1,0.3
"525","Maize and kidney bean dish","A2","Cereal-based local dishes","TZ08","None listed","156.5","3.6","0","0","7","5.5","0.5","0.5","21.4","0","2.8","0.1","311.2",0,"0",0,0.1,0.5,0.1,0.1,"1",0.1,29.6,0,0.2,"135.1","308.3","420.3","748.9","283.89999999999998","165.9","272.3","526.4","243.6","398.9","383.3","189",7.5,88.3,38.7,166.1,74.9,1.5,0,"0.7",0.1,0.3
"523","Maize and sorgum ugali (stiff porridge)","A2","Cereal-based local dishes","TZ08","None listed","110.3","3","0","0","0.9","0","0.3","0.4","24.7","0","4.3","0.2","197.8",2.1,"0",0,0.3,0,0.1,0,"0.8",0.1,4.3,0,0.3,"38.799999999999997","105.3","143.30000000000001","433.3","78.3","60.7","42.7","163.69999999999999","99.6","182.3","115.1","72.900000000000006",29.3,79,45,66.7,2.6,1.3,0,"0.5",0.2,0.7
"531","Maize porirdge with margarine and sugar","A2","Cereal-based local dishes","TZ08","None listed","100.2","1.1000000000000001","0","0","0.8","0.1","0.3","0.3","23.1","0","1","12.7","104.3",0,"0",0,0.1,0,0.1,0,"0.5",0,32.6,0,0.1,"4","21.3","178.5","450.9","114","91.5","110","260","156","207.5","208.5","115",0.9,31.6,16.6,37.6,4.6,0.4,0,"0.2",0,0.1
"505","Maize porridge without sugar and milk","A2","Cereal-based local dishes","TZ08","None listed","36.200000000000003","0.8","0","0","0.4","0.1","0.1","0.2","7.7","0","0.7","0","80",0,"0",0,0,0,0,0,"0.4",0,3,0,0,"7.4","39.799999999999997","100.9","181.9","151.19999999999999","30","28.4","108","56.9","122.8","179.2","62.9",3.5,24.1,12.7,28.7,3.5,0.4,0,"0.2",0,0.1
"506","Maize porridge with sugar","A2","Cereal-based local dishes","TZ08","None listed","94","0.8","0","0","0.4","0.1","0.1","0.2","22.7","0","0.7","14.6","80",0,"0",0,0,0,0,0,"0.4",0,3,0,0,"6","31","20.399999999999999","39.700000000000003","16","11.9","10.199999999999999","27.9","23.1","28.8","28.3","17.3",3.7,24.4,12.7,29,3.7,0.4,0,"0.2",0,0.1
"502","Maize porridge with sugar and egg","A2","Cereal-based local dishes","TZ08","None listed","106.6","4.4000000000000004","3.7","1.1000000000000001","3.6","1.3","1.2","0.5","14.4","88.1","0.7","6.6","80",53.5,"53.5",0.2,0.6,0.2,0.1,0.2,"0.4",0.1,13.7,0.3,0.4,"42.6","152","40","137","21","17","13","50","30","52","33","23",43.2,99.9,18.2,98.8,55.9,0.7,0,"0.6",0,0.1
"507","Maize porridge with sugar and milk","A2","Cereal-based local dishes","TZ08","None listed","129.80000000000001","1.2","0.8","0.8","1","0.5","0.2","0.1","30","2.5","0.3","25","0",55,"55",0,0,1,0,0.2,"0.1",0.1,6,0.4,0.4,"19.8","75.7","166.2","315","203.8","95.4","73.400000000000006","173.6","135.6","194.4","192","84.6",61.2,70.4,18.2,99,31.2,0.4,0,"0.4",0,0.1
"519","Maize ugali (stiff porridge)","A2","Cereal-based local dishes","TZ08","None listed","123.8","2.7","0","0","1.2","0.2","0.3","0.5","25.6","0","2.4","0.2","273",0,"0",0,0.3,0,0.1,0.1,"1.2",0.1,11.6,0,0.1,"19","95.2","100.7","327.2","138.6","70.5","50.1","135.9","106.3","132.69999999999999","311.8","82.8",2,81.2,43.4,98.1,11.9,1.2,0,"0.6",0.1,0.2
"508","Millet prridge with sugar","A2","Cereal-based local dishes","TZ08","None listed","91","0.7","0","0","0.1","0.3","0.1","0","22.6","0","1.3","14.5","61",0,"0",0,0,0,0,0,"0.2",0,3,0,0,"16","36","42.9","71.7","41.7","12.6","10.6","41.1","29","46.4","56.7","21.9",27.7,28.6,2.7,41.1,1.3,0.3,0,"0.1",0.1,0.6
"509","Mix flour porridge with sugar","A2","Cereal-based local dishes","TZ08","None listed","130.30000000000001","2.2000000000000002","0","0","6.7","1.4","3.1","1.9","16.399999999999999","0","1.9","4.0999999999999996","157.69999999999999",0.5,"0",0,0.8,0,0,0,"0.8",0,7.6,0,0.2,"13","39.299999999999997","578","1019","1123","365","142","501","424","656","836","366",32.5,52.4,12.9,80.2,2,0.5,0,"0.3",0.1,0.6
"514","Pancake","A2","Cereal-based local dishes","TZ08","None listed","291.39999999999998","7","1.9","0","12.1","9.1999999999999993","1.2","0.6","383","63.6","1.4","0.2","188",38,"38",0.2,0.6,0,0.1,0.1,"0.8",0.1,20.8,0.2,0.5,"67.5","189.1","227.9","409.8","215.6","122.8","120.3","282.2","186","260.60000000000002","259.3","125.2",20.2,106.4,16.7,96.6,155.2,1,0,"0.7",0.1,0.4
"543","Rice biriyani","A2","Cereal-based local dishes","TZ08","None listed","208.3","9.9","8.1","8.1","10","5.3","2.4","1.3","19.5","23.7","0.7","0.7","69",16.6,"12.9",0,0.1,4.9,0.1,0.1,"2.1",0.2,9.8,0.1,0.6,"119.5","405.8","490.6","733.8","746.7","256","135.9","399.7","322.8","506.3","625","276.5",22.9,92.9,19.2,179.6,346.3,0.7,0.4,"0.8",0.1,0.3
"516","Rice boiled without Oil","A2","Cereal-based local dishes","TZ08","None listed","159.1","2.6","0","0","0.6","0.2","0.2","0.1","34.799999999999997","0","1","0","166",0,"0",0,0,0,0.1,0.1,"0.5",0.1,2.6,0,0,"36.700000000000003","111.9","173.1","360.1","240","101.7","63.3","180.4","141.30000000000001","216.1","274.3","111.2",3.6,46.9,16.2,36.5,0,0.2,0,"0.5",0.1,0.5
"517","Rice boiled with Oil","A2","Cereal-based local dishes","TZ08","None listed","199.1","2.9","0","0","3","2.4","0.3","0.2","39.200000000000003","0","1.2","0.1","179.9",0,"0",0,0,0,0,0,"0.5",0.1,6.3,0,0.7,"34.299999999999997","104.6","151.5","282","218","85.5","63.3","174.3","116.1","203","268.10000000000002","86.8",4.1,47.8,18.6,41.7,0,0.3,0,"0.5",0.1,0.5
"530","Rice bread","A2","Cereal-based local dishes","TZ08","None listed","239.1","2.2000000000000002","0","0","7.5","6.3","0.5","0.2","41.1","0","1","13.4","134.69999999999999",0,"0",0,0.1,0.1,0.1,0,"0.4",0.1,3.3,0,0.4,"4.2","18.100000000000001","17.899999999999999","52.1","16","9.6999999999999993","6.1","16.3","13.5","16.7","16.600000000000001","10.1",3.4,40.8,13.7,44.3,1.1,0.3,0,"0.5",0.1,0.5
"524","Rice bun","A2","Cereal-based local dishes","TZ08","None listed","416.2","4.7","0","0","11.1","8.9","0.9","0.5","73.7","0","1.9","9.4","282.39999999999998",0,"0",0,0.2,0,0,0,"0",0.1,4.8,0,0.9,"5.6","29.6","28","96","21.6","16","14.4","38.4","32","39.200000000000003","39.200000000000003","24",6.5,83.3,28.8,65,1,0.5,0,"0.9",0.1,0.8
"515","Rice and meat pillau","A2","Cereal-based local dishes","TZ08","None listed","177","7.1","5.2","5.2","5.6","3.1","1.8","0.3","23.6","16.8","0.9","0.2","95.9",14.2,"0",0,0,1.2,0,0.1,"1.1000000000000001",0.1,5.6,0.4,0.4,"67.3","261.39999999999998","269.60000000000002","485.1","484.3","151.1","70.099999999999994","239.5","204.1","295.5","385.7","203.5",6.3,76.9,16.8,128.8,98.9,0.6,0.4,"1.2",0.1,0.3
"544","Rice and mung dish with coconut milk","A2","Cereal-based local dishes","TZ08","None listed","262.8","5","0","0","11.4","10","0.5","0.2","36.200000000000003","0","4.7","2.5","304.10000000000002",0.4,"0",0,0.1,0.9,0.1,0,"0.7",0.1,53.1,0,0.5,"54.9","180","192.8","366.3","227.1","89.5","78","243","151","259.7","423.7","121.5",12.7,106.3,34.3,206.9,136.7,1.6,0,"1",0.2,1
"545","Rice and mung dish without coconut milk","A2","Cereal-based local dishes","TZ08","None listed","124.1","3.3","0","0","0.2","0.1","0","0.1","26.7","0","1.5","0.4","168.1",0.4,"0",0,0,0,0.1,0,"0.4",0.1,40.9,0,0.4,"39.4","130.6","139.5","265.39999999999998","165.8","64.400000000000006","54","175.9","109.1","182.9","255.7","89",6.9,58.9,20.3,75.6,111.4,0.6,0,"0.6",0.1,0.4
"533","Rice poridge with coconut without sugar","A2","Cereal-based local dishes","TZ08","None listed","152.9","2","0","0","8.1999999999999993","7.1","0.4","0.2","18.5","0","1.2","1.1000000000000001","182",0,"0",0,0.3,1,0,0,"0.4",0,9.9,0,0.3,"14.5","48","51","107.3","54.6","24.8","25.8","66.3","42.7","77.5","192.2","31.9",6.3,59.3,18.2,135.5,6.7,0.9,0,"0.6",0.2,0.7
"528","Rice porridge with sugar","A2","Cereal-based local dishes","TZ08","None listed","94.6","0.6","0","0","0.1","0","0","0","23","0","0.2","14.5","35.299999999999997",0,"0",0,0,0,0,0,"1.1000000000000001",0,0.6,0,0.1,"7.8","23.8","28.8","55.2","24.1","15.7","13.7","35.6","22.4","40.6","55.4","15.7",1,10.7,3.6,8.4,0.2,0.1,0,"0.1",0,0.1
"521","Rice ugali (stiff porridge)","A2","Cereal-based local dishes","TZ08","None listed","149","2.7","0","0","0.2","0.1","0.1","0.1","32.799999999999997","0","0.3","0.1","144.69999999999999",0,"0",0,0,0,0,0,"0.5",0.1,2.5,0,0.5,"32","97.6","101.8","133.1","123.1","33.700000000000003","45.3","94.2","124.2","125.8","281","53.2",3.3,42.6,14.8,33.2,0,0.2,0,"0.5",0,0.4
"518","Rice with coconut milk","A2","Cereal-based local dishes","TZ08","None listed","170","2.9","0","0","1.5","1.2","0.1","0.1","35.5","0","0.7","0.1","166",0,"0",0,0.1,0,0,0,"0.5",0.1,2.6,0,0.5,"49","151","165","307","153","75","80","202","118","215","279","94",8.7,91.1,29.4,152,6,1,0,"0.9",0.2,1
"540","Rice with ground meat","A2","Cereal-based local dishes","TZ08","None listed","288.39999999999998","8.5","4.4000000000000004","4.4000000000000004","14.7","8.1999999999999993","4.0999999999999996","1.5","30.7","14.6","1.7","0.8","252.7",194.2,"0",0,0.8,0.2,0.1,0.1,"2",0.2,13.6,0.3,0.6,"71.599999999999994","267.10000000000002","276.2","510.9","482.9","142.5","73.3","279.5","213.2","308.10000000000002","404.3","210.2",13.6,101.6,30.3,162.8,294,0.9,0.3,"1.4",0.2,0.6
